label,model,group,train_seed,noise_aware,threat,level,pert_seed,acc
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,80,1,96.69
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,80,2,96.695
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,100,0,94.7975
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,100,1,94.88
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,100,2,94.6875
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.0,0,99.99
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.0,1,99.99
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.0,2,99.99
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.06,0,99.9125
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.06,1,99.9125
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.06,2,99.9075
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.08,0,99.3325
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.08,1,99.35
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.08,2,99.365
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.1,0,97.985
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.1,1,97.995
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.1,2,98.1625
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.12,0,95.78
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.12,1,95.7075
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.12,2,95.815
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.14,0,92.1925
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.14,1,92.13
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.14,2,92.1825
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.16,0,87.7375
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.16,1,87.515
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.16,2,87.565
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.2,0,81.3575
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.2,1,81.6525
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,noise,0.2,2,81.38
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,0,0,99.99
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,0,1,99.99
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,0,2,99.99
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,40,0,98.85
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,40,1,98.7675
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,40,2,98.8175
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,80,0,94.88
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,80,1,95.02
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,80,2,94.845
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,100,0,92.78
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,100,1,92.885
qresnet_q8l3strong_seed0,qresnet,qresnet_q8l3strong,0,False,occlusion,100,2,92.7525
