[log] 2026-06-11T23:28:32 writing console to experiments_revision/logs/train_qresnet_20260611_232832.log
--> [INFO] Found 200000 images. Classes: ['benign', 'malicious']
--> [INFO] Stratified split: train=140000 val=20000 test=40000
[qresnet_seed0] epoch 3/5 batch 1626/2188 loss=0.0723 (879 img/s)
[qresnet_seed0] epoch 3/5 batch 1651/2188 loss=0.0719 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1676/2188 loss=0.0714 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1701/2188 loss=0.0710 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1726/2188 loss=0.0706 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1751/2188 loss=0.0702 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1776/2188 loss=0.0698 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1801/2188 loss=0.0693 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1826/2188 loss=0.0690 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1851/2188 loss=0.0686 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1876/2188 loss=0.0682 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1901/2188 loss=0.0678 (878 img/s)
[qresnet_seed0] epoch 3/5 batch 1926/2188 loss=0.0674 (878 img/s)
[qresnet_seed0] epoch 3/5 batch 1951/2188 loss=0.0670 (878 img/s)
[qresnet_seed0] epoch 3/5 batch 1976/2188 loss=0.0667 (879 img/s)
[qresnet_seed0] epoch 3/5 batch 2001/2188 loss=0.0663 (880 img/s)
[qresnet_seed0] epoch 3/5 batch 2026/2188 loss=0.0659 (880 img/s)
[qresnet_seed0] epoch 3/5 batch 2051/2188 loss=0.0655 (881 img/s)
[qresnet_seed0] epoch 3/5 batch 2076/2188 loss=0.0652 (881 img/s)
[qresnet_seed0] epoch 3/5 batch 2101/2188 loss=0.0648 (881 img/s)
[qresnet_seed0] epoch 3/5 batch 2126/2188 loss=0.0645 (881 img/s)
[qresnet_seed0] epoch 3/5 batch 2151/2188 loss=0.0642 (881 img/s)
[qresnet_seed0] epoch 3/5 batch 2176/2188 loss=0.0638 (882 img/s)
[qresnet_seed0] epoch 3/5 batch 2188/2188 loss=0.0636 (882 img/s)
[qresnet_seed0] epoch 3/5 loss=0.0636 val_acc=100.00 val_auc=1.0000
[qresnet_seed0] epoch 4/5 batch 1/2188 loss=0.0340 (120 img/s)
[qresnet_seed0] epoch 4/5 batch 26/2188 loss=0.0356 (637 img/s)
[qresnet_seed0] epoch 4/5 batch 51/2188 loss=0.0344 (731 img/s)
[qresnet_seed0] epoch 4/5 batch 76/2188 loss=0.0338 (782 img/s)
[qresnet_seed0] epoch 4/5 batch 101/2188 loss=0.0334 (808 img/s)
[qresnet_seed0] epoch 4/5 batch 126/2188 loss=0.0331 (823 img/s)
[qresnet_seed0] epoch 4/5 batch 151/2188 loss=0.0328 (835 img/s)
[qresnet_seed0] epoch 4/5 batch 176/2188 loss=0.0326 (845 img/s)
[qresnet_seed0] epoch 4/5 batch 201/2188 loss=0.0322 (851 img/s)
[qresnet_seed0] epoch 4/5 batch 226/2188 loss=0.0320 (853 img/s)
[qresnet_seed0] epoch 4/5 batch 251/2188 loss=0.0317 (855 img/s)
[qresnet_seed0] epoch 4/5 batch 276/2188 loss=0.0315 (856 img/s)
[qresnet_seed0] epoch 4/5 batch 301/2188 loss=0.0313 (859 img/s)
[qresnet_seed0] epoch 4/5 batch 326/2188 loss=0.0311 (862 img/s)
[qresnet_seed0] epoch 4/5 batch 351/2188 loss=0.0309 (865 img/s)
[qresnet_seed0] epoch 4/5 batch 376/2188 loss=0.0307 (866 img/s)
[qresnet_seed0] epoch 4/5 batch 401/2188 loss=0.0306 (868 img/s)
[qresnet_seed0] epoch 4/5 batch 426/2188 loss=0.0304 (869 img/s)
[qresnet_seed0] epoch 4/5 batch 451/2188 loss=0.0302 (870 img/s)
[qresnet_seed0] epoch 4/5 batch 476/2188 loss=0.0300 (872 img/s)
[qresnet_seed0] epoch 4/5 batch 501/2188 loss=0.0299 (873 img/s)
[qresnet_seed0] epoch 4/5 batch 526/2188 loss=0.0297 (875 img/s)
[qresnet_seed0] epoch 4/5 batch 551/2188 loss=0.0295 (876 img/s)
[qresnet_seed0] epoch 4/5 batch 576/2188 loss=0.0294 (877 img/s)
[qresnet_seed0] epoch 4/5 batch 601/2188 loss=0.0292 (878 img/s)
[qresnet_seed0] epoch 4/5 batch 626/2188 loss=0.0290 (879 img/s)
[qresnet_seed0] epoch 4/5 batch 651/2188 loss=0.0288 (880 img/s)
[qresnet_seed0] epoch 4/5 batch 676/2188 loss=0.0287 (880 img/s)
[qresnet_seed0] epoch 4/5 batch 701/2188 loss=0.0285 (881 img/s)
[qresnet_seed0] epoch 4/5 batch 726/2188 loss=0.0283 (881 img/s)
[qresnet_seed0] epoch 4/5 batch 751/2188 loss=0.0282 (881 img/s)
[qresnet_seed0] epoch 4/5 batch 776/2188 loss=0.0280 (880 img/s)
[qresnet_seed0] epoch 4/5 batch 801/2188 loss=0.0278 (879 img/s)
[qresnet_seed0] epoch 4/5 batch 826/2188 loss=0.0277 (878 img/s)
[qresnet_seed0] epoch 4/5 batch 851/2188 loss=0.0276 (878 img/s)
[qresnet_seed0] epoch 4/5 batch 876/2188 loss=0.0274 (878 img/s)
[qresnet_seed0] epoch 4/5 batch 901/2188 loss=0.0273 (879 img/s)
[qresnet_seed0] epoch 4/5 batch 926/2188 loss=0.0272 (879 img/s)
[qresnet_seed0] epoch 4/5 batch 951/2188 loss=0.0271 (879 img/s)
[qresnet_seed0] epoch 4/5 batch 976/2188 loss=0.0273 (879 img/s)
[qresnet_seed0] epoch 4/5 batch 1001/2188 loss=0.0274 (880 img/s)
[qresnet_seed0] epoch 4/5 batch 1026/2188 loss=0.0279 (880 img/s)
[qresnet_seed0] epoch 4/5 batch 1051/2188 loss=0.0281 (880 img/s)
[qresnet_seed0] epoch 4/5 batch 1076/2188 loss=0.0280 (881 img/s)
[qresnet_seed0] epoch 4/5 batch 1101/2188 loss=0.0279 (881 img/s)
[qresnet_seed0] epoch 4/5 batch 1126/2188 loss=0.0281 (881 img/s)
[qresnet_seed0] epoch 4/5 batch 1151/2188 loss=0.0280 (881 img/s)
[qresnet_seed0] epoch 4/5 batch 1176/2188 loss=0.0279 (882 img/s)
[qresnet_seed0] epoch 4/5 batch 1201/2188 loss=0.0277 (882 img/s)
